Item,Frequency
",",324893215
de,311577087
.,223359505
la,166346826
et,135489621
le,127192040
à,110891174
les,108468942
l'',104464272
des,95800757
en,90808698
d'',85090038
un,69966854
est,66799442
du,65536334
une,61275087
pour,55979184
),52671267
(,51714631
,51039167
dans,46406445
que,45053162
il,40869180
:,40663196
qui,38903126
par,36988424
sur,36476769
a,35797337
au,34429768
pas,30419418
 ,29228456
ce,25959806
ou,25431253
plus,25134231
avec,24444497
vous,24362591
ne,22001788
qu'',19874067
se,19803529
je,19122170
...,18177698
sont,17705730
son,17128489
n'',16706618
!,16661179
mais,16477862
s'',16159512
-,15868892
c'',14852536
cette,14766560
?,14278511
aux,14272812
nous,14066843
on,13454579
],12577409
[,12572638
comme,12356898
elle,11441550
ont,11151825
sa,11151464
tout,11026798
si,10410210
;,9989576
ses,9910972
être,9726274
fait,9686896
y,9647424
bien,9643667
j'',9379096
été,9259979
’,9063267
aussi,8981326
ces,8981106
même,8847951
leur,8722056
faire,8562772
votre,8030293
deux,7788074
très,7559820
ils,7153086
cet,7122672
article,7104319
entre,6940998
ai,6835025
sans,6814418
liste,6746803
peut,6550935
tous,6353177
2,6324542
l,6160451
pouvez,6065156
d,6032340
autres,5958293
après,5950087
était,5864563
sous,5850844
1,5841237
lui,5836522
/,5571896
où,5417280
ainsi,5341320
france,5220068
donc,5144478
«,5134109
»,5128701
ans,4995025
alors,4968760
me,4968332
dont,4916239
depuis,4893240
temps,4849064
encore,4709197
%,4704185
projets,4585007
peu,4579840
3,4559651
notre,4557257
non,4504176
avoir,4486946
travail,4432856
autre,4420879
puis,4300973
leurs,4220281
–,4193858
vos,4186339
monde,4096004
tâches,4055883
mon,3988663
avant,3982761
fois,3956763
moins,3912520
cela,3907418
également,3901719
soit,3837168
•,3796502
avait,3790113
vie,3770285
ça,3755295
comment,3646178
contre,3626952
exemple,3553920
site,3494796
quand,3491832
quelques,3452782
selon,3442220
cas,3441551
'',3417726
4,3414810
nos,3410074
aide,3387659
car,3346981
voir,3316086
tu,3310576
toutes,3289965
toujours,3283786
toute,3279640
premier,3263096
pays,3244897
place,3229237
paris,3163901
partie,3157157
vers,3137284
grand,3110046
5,3098587
prendre,3094320
plusieurs,3077621
forme,3048350
conseil,3045538
suis,3044171
faut,3012982
page,3004207
première,2941248
lors,2931780
consulter,2907649
chaque,2905033
jour,2901886
sera,2872428
français,2870310
trois,2842593
↑,2824906
années,2822076
année,2809210
m'',2795206
chez,2740173
bon,2704836
histoire,2687059
déjà,2661427
fin,2644950
10,2613100
va,2602131
doit,2598187
ma,2588226
ville,2567681
personnes,2521837
beaucoup,2519753
elles,2518936
nom,2501722
dit,2499934
prix,2492737
grande,2484078
groupe,2450164
suite,2445617
mois,2443262
projet,2435970
effet,2422542
cours,2404775
nouveau,2400922
nouvelle,2392276
