Item,Frequency
",",34762
de,19818
la,16481
le,14275
est,12975
les,12644
.,11979
j'',11514
l'',11340
et,10409
à,10101
que,9090
je,8969
on,8626
pas,8455
un,8335
c'',8169
d'',7976
des,7370
en,7199
qu'',6768
dans,6738
qui,6478
pour,6458
tu,5060
a,4936
une,4686
du,4508
comme,4262
ai,4213
t'',3914
ça,3880
mais,3791
mon,3708
me,3523
il,3451
au,3380
s'',3272
ma,3241
sur,3238
se,3226
plus,3132
ce,3093
si,2893
ne,2819
m'',2705
tout,2696
n'',2428
?,2393
quand,2364
mes,2284
!,2281
suis,2279
nous,2265
avec,2202
moi,2195
vie,2193
fait,2189
te,2148
y,1967
même,1872
trop,1755
sans,1748
ils,1730
faire,1711
ou,1699
elle,1610
son,1600
sont,1582
tous,1547
par,1498
être,1452
rien,1444
ton,1421
nos,1407
monde,1350
où,1330
bien,1256
faut,1237
toi,1230
ont,1192
es,1168
temps,1167
là,1119
as,1102
ta,1090
»,1066
ces,1064
veux,1061
«,1052
leur,1025
aux,1018
car,993
ceux,972
sa,970
sais,960
fais,897
vous,888
tes,869
ses,860
deux,844
pis,843
toujours,832
jamais,817
était,806
va,803
cette,800
dit,791
parce,765
aime,736
mal,712
amour,690
sous,689
jour,682
ici,682
rap,670
dire,668
juste,655
dis,644
y''a,641
voir,640
peu,637
notre,636
lui,628
encore,625
non,624
tête,624
alors,612
chaque,611
vu,605
fois,587
leurs,574
quoi,569
oh,568
-moi,554
the,550
i,548
passe,546
gens,543
donc,541
entre,538
you,535
reste,530
puis,523
avant,517
pourquoi,517
ni,513
bon,511
:,509
autre,494
loin,485
seul,483
ouais,481
homme,477
veut,476
toutes,474
parle,471
peut,469
autres,466
vois,462
chez,462
avoir,451
peur,447
terre,445
depuis,444
toute,443
mort,442
peux,439
tant,433
j’,428
personne,427
yeux,422
aussi,421
après,417
sens,409
petit,407
rue,406
mère,404
place,402
yeah,402
vivre,400
jusqu'',399
étais,399
coup,394
mots,388
mec,382
laisse,378
viens,378
sang,368
vrai,368
ans,367
plein,367
-ce,364
to,364
gros,362
font,359
part,356
cœur,352
histoire,351
musique,351
soir,350
frère,350
veulent,349
air,346
quatre,346
donne,344
gars,339
pense,338
fond,336
trois,330
dieu,329
vas,326
belle,323
besoin,323
soit,323
face,317
merde,316
grand,315
haine,314
france,311
déjà,308
mieux,306
force,304
rêve,303
-,302
c’,302
mêmes,301
avais,301
frères,300
coeur,300
beaucoup,298
aujourd''hui,297
vers,296
paix,296
xxx,295
vient,293
pris,289
fils,289
devant,288
heure,288
ville,285
l’,282
pu,282
crois,281
…,280
style,280
putain,280
guerre,280
moins,279
elles,279
maintenant,278
aurais,274
père,274
fin,271
my,271
famille,270
été,270
pays,269
jours,268
souvent,268
prendre,268
prend,267
and,267
main,267
comment,266
corps,266
vite,266
prends,265
eux,265
ben,264
choses,264
y'',264
fort,263
aller,263
nuit,262
bas,260
vais,260
coups,259
beau,259
côté,255
sait,255
croire,253
yo,252
rêves,252
parler,251
cause,250
âme,248
noir,248
porte,246
bout,245
femme,243
savoir,237
tard,237
regarde,237
avait,237
celle,236
appelle,235
enfants,234
passé,233
-toi,233
contre,231
mille,231
qu’,230
pire,229
dix,229
arrive,228
écoute,228
peut-être,227
oui,226
peine,226
hommes,225
demande,224
up,222
mettre,221
chose,220
jeunes,220
baby,219
voilà,219
celui,218
esprit,218
chacun,217
feu,217
fille,216
vingt,216
pourtant,216
argent,216
haut,214
sera,214
ciel,214
it,214
voix,213
mecs,213
pendant,213
pouvoir,212
bras,212
vos,209
garde,208
paris,208
tellement,208
cent,207
vraiment,207
dur,206
sort,205
certains,204
oublie,203
ok,203
come,202
état,202
or,202
we,201
fuck,200
d’,200
époque,198
compte,197
derrière,197
neuf,197
mets,196
),193
nom,193
fou,192
eu,191
(,191
seule,190
combien,189
trouve,188
hey,187
vit,187
bonne,187
cinq,186
perdu,186
but,186
soleil,185
mains,184
mc,184
sortir,184
lève,183
joue,183
s,182
femmes,182
sûr,182
jeune,181
sois,180
passer,180
heures,180
enfant,179
chance,179
sourire,178
